Protocol,nFlows,ErrorRate,Goodput(Mbps)
TcpCubic,1,1e-05,0.902737
TcpCubic,1,5e-05,0.878137
TcpCubic,1,0.0001,0.719256
TcpCubic,1,0.0005,0.0440084
TcpCubic,1,0.001,0.00361095
TcpCubic,2,1e-05,0.903414
TcpCubic,2,5e-05,0.859631
TcpCubic,2,0.0001,0.834355
TcpCubic,2,0.0005,0.0345297
TcpCubic,2,0.001,0.0155722
TcpCubic,4,1e-05,0.904317
TcpCubic,4,5e-05,0.878589
TcpCubic,4,0.0001,0.849475
TcpCubic,4,0.0005,0.113971
TcpCubic,4,0.001,0.0155722
TcpNewReno,1,1e-05,0.901383
TcpNewReno,1,5e-05,0.686757
TcpNewReno,1,0.0001,0.455656
TcpNewReno,1,0.0005,0.0370122
TcpNewReno,1,0.001,0.000677053
TcpNewReno,2,1e-05,0.902963
TcpNewReno,2,5e-05,0.874075
TcpNewReno,2,0.0001,0.607542
TcpNewReno,2,0.0005,0.0399461
TcpNewReno,2,0.001,0.00789895
TcpNewReno,4,1e-05,0.903414
TcpNewReno,4,5e-05,0.879266
TcpNewReno,4,0.0001,0.779288
TcpNewReno,4,0.0005,0.0683823
TcpNewReno,4,0.001,0.0133154
